"SubjectID" "ActivityCode" "ActivityDescription" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAcc-std()-X" "fBodyAcc-std()-Y" "fBodyAcc-std()-Z" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyAccJerk-std()-X" "fBodyAccJerk-std()-Y" "fBodyAccJerk-std()-Z" "fBodyAccMag-mean()" "fBodyAccMag-std()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyAccJerkMag-std()" "fBodyBodyGyroJerkMag-mean()" "fBodyBodyGyroJerkMag-std()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroMag-std()" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyGyro-std()-X" "fBodyGyro-std()-Y" "fBodyGyro-std()-Z" "tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tBodyAcc-std()-X" "tBodyAcc-std()-Y" "tBodyAcc-std()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyAccJerk-std()-X" "tBodyAccJerk-std()-Y" "tBodyAccJerk-std()-Z" "tBodyAccJerkMag-mean()" "tBodyAccJerkMag-std()" "tBodyAccMag-mean()" "tBodyAccMag-std()" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyro-std()-X" "tBodyGyro-std()-Y" "tBodyGyro-std()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyGyroJerk-std()-X" "tBodyGyroJerk-std()-Y" "tBodyGyroJerk-std()-Z" "tBodyGyroJerkMag-mean()" "tBodyGyroJerkMag-std()" "tBodyGyroMag-mean()" "tBodyGyroMag-std()" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tGravityAcc-std()-X" "tGravityAcc-std()-Y" "tGravityAcc-std()-Z" "tGravityAccMag-mean()" "tGravityAccMag-std()"
"1" 1 1 "WALKING" -0.41546378 -0.40259904 -0.43098331 -0.42342258 -0.43771207 -0.36801892 -0.44092133 -0.40271978 -0.42102192 -0.3521235 -0.425846775 -0.44458211 -0.44554785 -0.34002648 -0.42671341 -0.46328899 -0.4266712 -0.36004801 -0.38126644 -0.41768268 -0.431310445 -0.42441352 -0.43407399 -0.470906975 -0.49176804 -0.45369838 -0.34225675 -0.44079659 -0.46370024 -0.26312072 -0.16085877 -0.21771532 -0.440188795 -0.393307455 -0.42382736 -0.368836015 -0.37409268 -0.44704446 -0.37921508 -0.14526252 -0.327318705 -0.351953855 -0.43434526 -0.369106895 -0.42069386 -0.419966135 -0.46594106 -0.39306868 -0.2814511 -0.28303927 -0.352910095 -0.332989705 -0.225071315 -0.25125932 -0.39936344 -0.49782738 -0.20925775 -0.37097505 -0.31212436 -0.29362011 -0.20819493 -0.21598879 -0.32595393 -0.38223955 -0.47367033 -0.48223636
"2" 1 2 "WALKING_UPSTAIRS" NA NA -0.68048296 NA NA NA NA NA -0.630265085 -0.68299758 -0.74680377 NA -0.691732755 -0.68713574 -0.66821927 -0.72664086 -0.62705236 -0.76778792 -0.73939005 NA -0.69467005 -0.79381781 NA NA -0.69970102 NA -0.77915635 -0.75058208 -0.70671774 -0.76359517 -0.73871788 NA NA NA NA NA NA -0.69201372 NA NA -0.65463795 NA -0.64026619 NA NA NA NA NA -0.70376348 -0.6682289 -0.66038092 -0.628086815 -0.67481077 -0.65678779 -0.74620984 NA -0.72364799 -0.66546329 NA -0.57624886 -0.61540753 -0.743920065 -0.71608294 NA -0.68225134 NA
"3" 1 3 "WALKING_DOWNSTAIRS" -0.031143601 -0.32229578 -0.24068848 -0.563115215 -0.40326244 -0.34055324 NA -0.3417489 NA -0.390082085 NA NA -0.27629778 -0.35451078 -0.044155391 NA NA -0.41445103 NA -0.23107572 -0.27586709 NA -0.57416416 NA -0.51073195 -0.63119524 -0.62720248 -0.60864282 NA NA NA -0.367240833333333 NA -0.2495013 -0.089978912 -0.4308591 NA -0.49757628 -0.71418078 NA NA -0.1508711 -0.21880947 -0.29904779 -0.371555125 -0.42243118 -0.57034479 -0.51446856 -0.6100203 NA -0.41146393 -0.26679243 NA -0.5166988 -0.54170859 -0.38259955 NA NA -0.20306158 NA NA NA NA -0.52950882 NA NA
"4" 1 4 "SITTING" NA NA NA NA NA NA -0.98776643 -0.99662878 -0.99657721 -0.99687718 -0.996145045 -0.99675764 NA NA NA -0.99636766 -0.997130343333333 -0.99715898 -0.94961434 NA NA -0.99346944 NA NA NA NA -0.99629489 -0.9970916 NA -0.9955675 -0.99291622 NA -0.99544783 -0.996346 -0.998004075 -0.99754752 -0.99161215 -0.99801305 NA NA NA NA -0.99877552 -0.932582566666667 -0.83747045 NA -0.99708205 -0.99784862 NA NA NA NA -0.99850956 NA NA NA NA -0.98918242 NA -0.997726615 -0.99723939 -0.99580097 NA NA NA -0.98587585
"5" 1 5 "STANDING" -0.99886745 -0.995651493333333 -0.995097635 NA -0.99795047 NA -0.9873609 -0.99296605 NA -0.99181679 -0.9892975 -0.996583065 NA NA NA NA NA -0.99905443 NA NA NA -0.99879781 -0.99851682 -0.98812367 -0.99835163 -0.98662248 -0.99649329 -0.9982178 NA -0.99741 -0.995267056666667 -0.99639947 -0.99546483 -0.9952387 -0.99819704 -0.98873052 NA NA NA NA NA -0.99901349 NA NA NA NA -0.99881776 -0.99729577 -0.99463909 NA -0.99820238 NA -0.99956029 -0.98753396 -0.992260035 NA -0.99640999 -0.99259037 NA -0.99588211 NA NA -0.99512739 -0.99523693 -0.99058841 -0.9984604
"6" 1 6 "LAYING" NA -0.99834175 -0.99840436 -0.99853391 NA -0.50669066 -0.67951417 NA NA -0.96379153 -0.96394777 -0.99171566 NA NA NA -0.99290974 NA -0.99845846 -0.99732244 -0.99860633 -0.992875835 -0.99496517 -0.99870183 NA NA NA NA NA NA NA NA NA -0.958970796666667 -0.992146885 -0.99028301 -0.99648845 -0.99705279 -0.99695369 NA -0.68522496 NA NA -0.996143045 -0.975715643333333 -0.87253316 NA NA NA -0.99239476 NA -0.99692411 NA NA NA -0.99838834 -0.99894755 NA NA NA NA -0.92066111 -0.83318357 -0.73190234 -0.74486081 -0.9973808 NA
"7" 2 1 "WALKING" NA NA NA NA -0.35935637 NA NA NA NA -0.70062248 -0.6932471 -0.67867645 NA NA -0.46985852 -0.429378173333333 -0.65455965 NA -0.41542894 -0.67079481 NA NA NA -0.36739619 NA NA NA NA NA NA NA NA NA -0.74965418 -0.7316334 -0.73590816 -0.458207216666667 -0.472587513333333 -0.71347279 -0.69504096 -0.492831196666667 -0.68587802 -0.51523675 -0.65804469 -0.59828132 -0.542182415 -0.47865425 -0.50323323 -0.60369357 -0.53985044 -0.60216826 -0.60340295 -0.65079206 -0.72313066 NA NA -0.70067372 -0.7015216 -0.46488233 NA -0.397579205 -0.46313688 -0.48513097 NA -0.57842535 -0.73340191
"8" 2 2 "WALKING_UPSTAIRS" -0.66983439 -0.528225465 -0.612712755 -0.66673854 -0.49800598 -0.647253305 -0.68418294 -0.50984416 -0.64733042 -0.61578222 NA NA NA NA NA NA -0.62337918 NA NA NA -0.64802198 -0.60788256 -0.60914001 -0.70851322 NA NA NA NA -0.73246685 NA NA NA NA NA -0.67441074 -0.69372394 -0.613204095 -0.42336809 NA -0.67962221 NA NA -0.51692105 NA -0.601963605 -0.62510027 -0.5041819 -0.61198509 NA -0.75416494 -0.78199338 NA -0.60884642 NA -0.61693432 -0.74172245 -0.5130883 NA NA -0.623372695 -0.5311647 NA -0.56845743 NA NA NA
"9" 2 3 "WALKING_DOWNSTAIRS" -0.06031071 -0.063128454 -0.087916575 -0.45233819 -0.3368182795 -0.32524481 NA -0.5072222 NA -0.50672291 NA -0.61511602 NA NA -0.025643329 NA NA -0.36505969 NA -0.48105334 -0.58748933 -0.57104221 NA -0.2476846 NA NA NA -0.07289887 NA -0.057810183 NA NA NA -0.57361329 NA 0.011750567 NA NA NA -0.45630642 -0.45317978 NA NA -0.38064503 -0.462605535 -0.52830485 -0.0914983113333333 -0.239114749 NA -0.2792207185 -0.58445567 NA NA -0.074233524 -0.58692645 NA NA -0.62637336 NA NA NA NA -0.34772334 -0.58099339 -0.51698075 -0.63609065
"10" 2 4 "SITTING" -0.94048633 -0.99537025 -0.99123689 NA NA NA NA -0.98855822 NA -0.993942125 -0.99367594 -0.99144435 NA -0.99526122 -0.97696253 NA NA -0.98347125 NA NA -0.98732227 -0.992723875 -0.99652173 NA NA NA NA NA -0.989095536666667 -0.987217776666667 NA NA -0.99465498 -0.99344678 -0.99369966 NA NA -0.99710792 NA NA -0.99325341 -0.99563519 -0.99547997 NA NA -0.99685661 -0.97435094 -0.987263505 -0.988530483333333 -0.98975905 -0.98384411 NA -0.97878334 -0.98465453 NA -0.99299612 NA NA NA -0.99737578 NA NA NA -0.997742745 NA NA
"11" 2 5 "STANDING" NA NA NA -0.99694719 -0.99381413 -0.99461229 -0.99646014 NA NA -0.98864914 -0.970293025 -0.98980498 -0.99005155 NA NA -0.99537261 NA -0.99671989 -0.99053775 -0.98584291 -0.99199079 -0.93443071 -0.99472162 NA NA -0.99315607 NA -0.99673235 -0.99066549 NA NA -0.99462884 NA -0.97488753 -0.997454 -0.99807903 NA -0.9529879 -0.93095435 -0.98432463 NA NA -0.95079236 NA NA -0.93821243 NA NA -0.996123236666667 NA -0.99216154 NA NA -0.99062868 -0.98347904 -0.99316604 -0.991289075 -0.976350475 -0.98742298 NA NA -0.89455985 NA NA -0.99599965 -0.9144767
"12" 2 6 "LAYING" -0.99736796 NA -0.99527028 NA NA -0.99547503 -0.99697933 NA NA NA -0.92405678 -0.98962211 -0.99730295 -0.99669909 -0.99598661 -0.99545596 NA NA NA NA -0.99789178 -0.983108645 -0.99284644 -0.9968501 -0.99514011 -0.99688334 -0.99629515 NA NA NA -0.94886806 -0.98810166 -0.9955897 NA -0.97499294 -0.99324309 -0.99629829 NA NA NA -0.994005565 -0.99696236 NA NA NA NA NA -0.89651074 -0.98847859 -0.99107021 -0.99395679 -0.996184345 -0.99743539 -0.99734424 NA NA NA NA -0.993395685 -0.99545508 -0.99637426 -0.99565188 -0.98963356 -0.99090685 -0.99635646 -0.99503262
"13" 3 1 "WALKING" -0.57216036 -0.529147045 -0.537225785 -0.56910922 -0.55264691 -0.59892254 -0.59601826 -0.57649894 -0.60473219 -0.60491164 -0.6508563 -0.62122233 -0.56035601 -0.56156152 -0.57728058 -0.65566996 -0.49914335 -0.61158553 -0.65346887 -0.4900234 -0.51253259 -0.52184274 -0.66256561 -0.62794871 -0.62852537 -0.67205202 -0.64260191 -0.59124772 -0.60447788 NA NA NA NA NA NA NA -0.60786357 -0.45152548 -0.45072401 -0.45515802 -0.48807341 -0.54332515 -0.49607625 -0.51701221 -0.42706056 -0.47048958 -0.60173947 -0.61961207 -0.47092956 -0.48050563 -0.59371765 -0.50272866 -0.45593321 -0.41762629 -0.539776415 -0.56131509 -0.49256738 -0.38740455 NA NA NA NA NA NA -0.52119512 -0.46872714
"14" 3 2 "WALKING_UPSTAIRS" NA -0.76783251 NA -0.7782607 NA -0.65287553 -0.763485535 -0.71364895 -0.74611189 NA -0.68042595 NA -0.73225941 -0.72034598 NA NA NA NA NA -0.70005268 NA -0.67963642 NA -0.65359292 -0.73218266 -0.80848345 NA NA -0.78120125 NA NA -0.77974681 -0.71916492 -0.71014973 -0.71153623 -0.74378313 NA NA NA -0.754981325 -0.74558697 -0.62965238 NA NA NA -0.728375435 -0.760954185 NA -0.7532221 -0.77049575 -0.71529564 -0.755593235 NA -0.69523951 -0.71370889 -0.76938075 -0.74421967 -0.74432187 NA NA -0.75986558 -0.725559805 -0.764203985 NA -0.82969455 -0.748265926666667
"15" 3 3 "WALKING_DOWNSTAIRS" NA NA -0.650769715 -0.69936822 -0.62755331 -0.53257908 -0.62300494 -0.638335075 -0.59984417 -0.61740641 -0.5797569 -0.60740617 -0.62031359 -0.68507174 -0.55631072 NA -0.5481292 NA NA -0.54731826 NA -0.63531344 NA -0.62758424 NA NA -0.63278618 -0.65634334 NA -0.72295677 -0.62078147 -0.576918646666667 -0.66359699 -0.7697043 NA -0.74409605 -0.60919225 NA NA NA -0.57772517 NA -0.51547257 NA NA NA -0.60115006 NA -0.77272747 -0.66837143 NA NA -0.6060598 NA -0.4633728 NA NA NA -0.67793018 -0.67295941 NA -0.66347762 -0.41691875 -0.60429725 -0.64901126 -0.64470421
"16" 3 4 "SITTING" -0.993048475 -0.996124705 -0.98822649 -0.971953865 NA -0.92549271 -0.97979053 NA -0.92639515 -0.96767137 NA -0.99305067 -0.98682041 -0.99443082 -0.99244008 -0.99309335 -0.98564129 NA -0.99684952 NA -0.99281688 NA NA NA NA -0.98824279 NA NA NA NA -0.946140515 -0.987171165 NA -0.99514732 NA NA -0.99337275 NA -0.97216087 NA -0.99046849 -0.98871926 NA NA NA NA -0.87668764 -0.983771375 -0.98069232 -0.98362235 NA NA NA -0.99447143 -0.991726645 -0.992764765 NA -0.99183747 -0.98722192 -0.99030837 -0.98556233 NA -0.79811068 NA -0.95069565 -0.96373251
"17" 3 5 "STANDING" -0.89077141 -0.99620901 -0.9567661 -0.9634326 -0.96246439 -0.96733542 NA NA -0.968857293333333 -0.97905628 -0.99545772 NA NA -0.94849174 -0.68389395 -0.93366499 -0.950007345 NA -0.89196507 NA NA NA -0.9994442 -0.99880833 -0.983269385 NA -0.921432115 NA -0.98560467 NA NA NA -0.98017257 NA -0.9417722 NA -0.973041635 NA -0.967742216666667 -0.977891315 -0.99448673 -0.99580811 NA NA -0.97581873 -0.94985736 NA NA NA -0.950766975 -0.99723876 -0.918289865 NA NA -0.938546285 -0.92006807 -0.958013265 NA NA -0.99359285 -0.90377362 NA NA -0.95026673 -0.961107913333333 -0.98402707
